BGC0000147	s__Sorangium_cellulosum
BGC0000148	s__Saccharopolyspora_spinosa
BGC0000149	s__Sorangium_cellulosum
BGC0000150	s__Salinispora_tropica
BGC0000151	s__Streptomyces_ambofaciens
BGC0000152	s__Aspergillus_nidulans
BGC0000153	s__Stigmatella_aurantiaca
BGC0000154	s__Talaromyces_stipitatus
BGC0000155	s__Bipolaris_maydis
BGC0000156	s__Aspergillus_niger
BGC0000157	s__Streptomyces_sp_CK4412
BGC0000158	s__Streptomyces_griseochromogenes
BGC0000159	s__Streptomyces_spiroverticillatus
BGC0000160	s__Aspergillus_terreus
BGC0000161	s__Aspergillus_terreus
BGC0000162	s__Micromonospora_chalcea
BGC0000163	s__Streptomyces_longisporoflavus
BGC0000164	s__Streptomyces_sp_NRRL_11266
BGC0000165	s__Dactylosporangium_aurantiacum
BGC0000166	s__Streptomyces_fradiae
BGC0000167	s__Streptomyces_halstedii
BGC0000168	s__Penicillium_aethiopicum
BGC0000170	s__Aspergillus_niger
BGC0000171	s__Streptomyces_himastatinicus
BGC0000172	s__Brevibacillus_laterosporus
BGC0000173	s__Burkholderia_gladioli
BGC0000174	s__Candidatus_Endobugula
BGC0000175	s__Streptomyces_sp_YIM_56141
BGC0000176	s__Bacillus_velezensis
BGC0000177	s__Streptomyces_platensis
BGC0000178	s__Chitinophaga_sancti
BGC0000179	s__Sorangium_cellulosum
BGC0000180	s__Legionella_parisiensis
BGC0000181	s__Bacillus_velezensis
BGC0000182	s__Pseudomonas_fluorescens
BGC0000183	s__Paenibacillus_sp_F6_B70
BGC0000184	s__Sorangium_cellulosum
BGC0000185	s__Teredinibacter_turnerae
BGC0000186	s__Burkholderia_thailandensis
BGC0000187	s__Streptomyces_nodosus
BGC0000188	s__Cylindrospermopsis_raciborskii
BGC0000189	s__Xenorhabdus_bovienii
BGC0000190	s__Streptomyces_sp_SANK_61196
BGC0000191	s__Streptomyces_galilaeus
BGC0000192	s__Streptomyces_galilaeus
BGC0000193	s__Streptomyces_galilaeus
BGC0000194	s__Streptomyces_coelicolor
BGC0000195	s__Streptomyces_sp_CM020
BGC0000196	s__Photorhabdus_laumondii
BGC0000197	s__Streptomyces_echinatus
BGC0000198	s__Salinispora_arenicola
BGC0000199	s__uncultured_bacterium
BGC0000200	s__uncultured_bacterium
BGC0000201	s__Streptomyces_aureofaciens
BGC0000202	s__Kibdelosporangium_sp_MJ126_NF4
BGC0000203	s__Amycolatopsis_orientalis
BGC0000204	s__Streptomyces_sp_A2991200
BGC0000205	s__Candidatus_Endobugula
BGC0000206	s__Streptomyces_chartreusis
BGC0000207	s__Streptomyces_chartreusis
BGC0000208	s__Amycolatopsis_sulphurea
BGC0000209	s__Kitasatospora_aureofaciens
BGC0000210	s__Streptomyces_griseus
BGC0000211	s__Streptomyces_albaduncus
BGC0000212	s__Streptomyces_sp_SPB074
BGC0000213	s__Streptomyces_aureus
BGC0000214	s__Streptomyces_olindensis
BGC0000215	s__Streptomyces_cyaneus
BGC0000216	s__Dactylosporangium_sp_SC14051
BGC0000217	s__Streptomyces_sp
BGC0000218	s__Streptomyces_peucetius
BGC0000219	s__Streptomyces_olivaceus
BGC0000220	s__Streptomyces_maritimus
BGC0000221	s__uncultured_soil
BGC0000222	s__Streptomyces_sp_TA_0256
